# W Boson Mass Measurements (Historical & 2025)
# Sources: PDG 2025, ATLAS 2024, CMS 2024
#
# Experiment | Value (MeV) | Stat (MeV) | Sys (MeV) | Total (MeV) | Year
# -----------|-------------|------------|-----------|-------------|-----
CMS, 80360.2, 9.9, 12.3, 15.8, 2024
ATLAS, 80366.5, 9.8, 12.5, 15.9, 2024
CDF-II, 80433.5, 6.4, 6.9, 9.4, 2022
D0-II, 80375, 11, 20, 23, 2012
LEP-2, 80376, 23, 22, 33, 2013
Standard Model, 80353, 4, 4, 6, 2024
# Note: Dimensional transmutation predicts M_W via running coupling.
