SN_name,redshift,x1_stretch,distance_modulus,mu_error,H0
2011fe,0.00122,-0.548188,28.9987,1.51645,58.00167474567554
2011fe,0.00122,-0.380481,29.0559,1.51747,56.493766893133696
1994DRichmond,0.00299,-1.61803,30.7757,0.881212,62.71217902896251
1981B,0.00317,-0.445048,30.7946,0.614535,65.9113132983586
2001el,0.00333,-0.131083,31.5011,0.591006,50.00862762089118
2011by,0.00349,-0.334036,31.7933,0.55272,45.8127255217972
1998aq,0.00349,-0.45159,31.4967,0.545492,52.51775222517576
2021pit,0.00384,-0.042209,30.9999,0.566505,72.63934631532572
2005df,0.00407,-0.103725,31.3933,0.476404,64.23254238662668
2005df_ANU,0.00407,-0.01756,31.3779,0.479276,64.6896962849243
2012ht,0.00465,-1.27917,31.9309,0.442017,57.291956805058874
2012ht,0.00465,-1.16357,32.033,0.420403,54.66050702166795
1980N,0.00482,-1.1428,31.2476,0.558603,81.34816131394682
2007on,0.00483,-2.22068,31.6525,0.564724,67.65000510080924
1992A,0.00483,-1.67481,31.34,0.562589,78.12100715456447
2007on,0.00483,-2.28189,31.7635,0.574442,64.27881083633521
2015F,0.00488,-1.16422,31.4473,0.448264,75.12431498170514
2015F,0.00488,-0.994481,31.539,0.407028,72.01791185413123
2011B,0.00538,-1.02192,31.6512,0.514401,75.39854733016813
2018aoz,0.00548,-1.12558,31.7282,0.501431,74.12441201958688
2016coj,0.0057,-1.69279,31.9117,0.469628,70.85256197065135
SN2016coj,0.0057,-1.47692,31.8985,0.483668,71.28457400293806
2007gi,0.00587,-1.37417,31.7403,0.491367,78.95848452216437
2015bp,0.00592,-2.13402,32.4685,0.487055,56.94327085404508
1981D,0.00616,-1.15194,30.9079,0.524992,121.56859993241062
2006dd,0.00616,-0.285563,31.1857,0.452235,106.96985696640255
2007af,0.00625,-0.533099,32.0667,0.32593,72.33703777187068
2007af,0.00625,-0.444525,32.0023,0.36156,74.51448775539711
2007af,0.00625,-0.558,32.0999,0.322811,71.23947664139753
2007af,0.00625,-0.393072,32.0337,0.339166,73.44474381160775
2014bv,0.00634,-2.41089,32.4001,0.482567,62.93467021853741
2011iv,0.00668,-1.89667,31.2217,0.420706,114.0925180973335
1996X,0.00676,-1.07643,31.9733,0.415464,81.67843330966038
1992G,0.00692,-0.216055,32.4405,0.439634,67.42590702744346
2005cf,0.0071,-0.060167,32.3193,0.325586,73.15079521298007
2005cf,0.0071,-0.126135,32.3327,0.348317,72.70077686247856
2005cf,0.0071,-0.06305,32.3221,0.322655,73.05653187872343
2008Q,0.0075,-1.85633,32.3312,0.373843,76.84966281267674
2008Q,0.0075,-1.66449,32.2998,0.396652,77.9690003868807
1998dh,0.00814,-0.603336,32.7164,0.317031,69.84979049058322
1998dh,0.00814,-0.773787,32.6151,0.317457,73.1855107106894
2012hr,0.00814,-0.022119,32.7092,0.367554,70.08177740448178
1996Z,0.00817,-0.347761,32.4455,0.490787,79.42235481982195
1991M,0.00821,-1.09686,33.2138,0.462834,56.02783745749004
2013gh,0.00838,-0.732548,32.521,0.465611,78.68006708829058
2013gh,0.00838,-0.570744,32.6922,0.484865,72.71511939663286
2001bg,0.00855,-0.375732,32.6928,0.359218,74.1697504260957
2005W,0.00855,-0.431319,32.852,0.318032,68.92659388023218
ASASSN-15so,0.00857,-0.714413,32.7527,0.26758,72.32051745258379
PSNJ0717457,0.00861,-0.210958,32.7223,0.383433,73.6824154429839
2005am,0.00863,-1.79912,32.3744,0.338325,86.68650601614561
2005am,0.00863,-1.86653,32.3945,0.331296,85.88780398131877
2005am,0.00863,-1.92038,32.335,0.337879,88.27373418437259
1997bp,0.00864,-0.05696,32.4198,0.425219,84.99129477190301
2019ein,0.00883,-1.58896,32.8616,0.327035,70.86983253142438
2002er,0.00906,-0.928371,32.799,0.368859,74.84260591263165
2002er,0.00906,-0.900619,32.7498,0.409525,76.55770405775455
2006D,0.00925,-1.3074,32.8914,0.286425,73.2288873856348
2006D,0.00925,-1.58877,32.8973,0.282867,73.03019086362997
2006D,0.00925,-1.50889,32.9159,0.285505,72.40731372414048
2013cs,0.00935,-0.33302,32.3353,0.401367,95.62519060060285
2002cr,0.00954,-0.602515,33.2309,0.251906,64.59353869959733
2002cr,0.00954,-0.375911,33.2469,0.254885,64.11934505712011
2002dj,0.00957,-0.284682,32.901,0.309548,75.42800838999824
2009Y,0.00996,-0.148529,32.6457,0.409088,88.29579909203021
2009an,0.01026,-1.33873,33.3378,0.306294,66.13145282353325
2009an,0.01026,-1.4709,33.2253,0.299086,69.64790600540552
2006bh,0.01028,-1.68127,33.2788,0.247952,68.0853724569842
2004S,0.01042,-0.181708,33.1236,0.317227,74.12563416424544
2002dp,0.01061,-0.125605,33.3806,0.309009,67.05267168796091
2002dp,0.01061,-0.883313,33.2931,0.27457,69.8097506588589
1997bq,0.01079,-0.609001,33.0683,0.324016,78.73759540960167
ASASSN-16jf,0.01096,-1.97973,33.5709,0.314858,63.452868082978846
iPTF13ebh,0.01114,-2.41474,33.7337,0.342487,59.83646021429092
iPTF13ebh,0.01114,-2.15768,33.6369,0.29522,62.56419972537611
2010ko,0.01122,-2.46319,33.8347,0.353909,57.52724285943449
2013ex,0.01122,-0.341166,33.4336,0.283424,69.19800277820683
2013ex,0.01122,-0.40726,33.4947,0.325172,67.27807549116072
2009ab,0.01155,-1.00248,33.5833,0.281169,66.48791087680509
2009kk,0.0122,-1.33511,33.7023,0.266666,66.48451938559508
2010Y,0.01233,-2.58836,33.7403,0.254135,66.0273366604693
2008R,0.01246,-2.23955,33.8286,0.265115,64.06469239758678
2002ha,0.01258,-1.46565,33.708,0.24076,68.37563049921597
