SN_name,redshift,x1_stretch,distance_modulus,mu_error,H0
2002ha,0.01258,-1.30067,33.7246,0.250097,67.85492019256976
2009kq,0.01259,-0.139165,33.5874,0.26006,72.33798930854671
2009kq,0.01259,-0.087808,33.5178,0.26619,74.69412309495404
2001bt,0.01279,-0.922972,33.7492,0.416658,68.21050225801952
2001ep,0.01283,-0.894852,33.6365,0.287379,72.06881136963119
2001ep,0.01283,-0.953229,33.5028,0.331124,76.6456231147635
2013gy,0.01303,-0.513534,33.7355,0.239783,69.93025608636385
2013gy,0.01303,-0.93035,33.7607,0.28722,69.12340427032008
AT2017cfd,0.01304,-0.52942,33.5752,0.292564,75.34566916608415
2017cfd,0.01304,-0.79384,33.5673,0.284786,75.62028230322201
2007hj,0.01325,-2.30035,33.9682,0.303693,63.884659032098035
2007hj,0.01325,-2.06693,33.9846,0.299399,63.403988890009956
2007hj,0.01325,-2.20461,33.9247,0.304606,65.17733234896893
2008hv,0.01375,-1.38336,33.797,0.277855,71.73372790076475
2008hv,0.01375,-1.24313,33.7683,0.232778,72.68811408364913
2008hv,0.01375,-1.47007,33.772,0.235755,72.56436532188361
1997E,0.01376,-1.75207,33.7649,0.288791,72.85496213752558
2007cv,0.01386,-2.14639,33.6741,0.345367,76.51805693261834
1992al,0.01388,-0.284092,33.6968,0.233531,75.83159120282237
1999dk,0.01389,-0.329226,33.6651,0.296207,77.00216724423285
2005kc,0.01442,-0.756322,34.0187,0.307194,67.92755195542284
2005kc,0.01442,-0.394289,34.0249,0.352338,67.73388145055489
2006N,0.01446,-2.01175,33.9078,0.240515,71.68511658419129
2006td,0.0145,-1.37917,34.1727,0.365029,63.62806340342464
2013gq,0.01453,-0.740468,33.7526,0.2163,77.36888128537541
2004eo,0.0146,-1.23185,33.8826,0.249316,73.22401843831163
2003gt,0.01462,-0.19694,33.9253,0.243928,71.89655406481165
2005bo,0.01463,-1.12409,33.7553,0.390506,77.80455606175323
2005bo,0.01463,-1.1289,33.7189,0.39282,79.11977235921464
2013fa,0.01472,-0.556908,33.7894,0.397352,77.06346156757421
2000dm,0.01484,-2.12328,34.0109,0.270222,70.157580599667
PSNJ2043531,0.01492,-2.55527,34.1902,0.372674,64.94556899670889
2005el,0.01499,-1.31973,33.974,0.229564,72.08125438236443
2005el,0.01499,-1.37084,33.9261,0.231708,73.688944486859
2001cn,0.01515,-0.553543,33.8877,0.294985,75.80421169290022
2005de,0.01519,-0.493131,34.1793,0.26677,66.45359445780286
ATLAS16cxr,0.01542,-0.04908,34.3426,0.372888,62.57272615573415
2011im,0.01549,-1.45096,34.2732,0.34036,64.89812068086123
1999ej,0.0155,-1.85693,34.2581,0.272528,65.39317156013023
1999ej,0.0155,-1.52281,34.2112,0.258071,66.8209123571618
2001en,0.0155,-0.766449,33.9994,0.28632,73.66690110960882
2001en,0.0155,-0.964751,33.8852,0.313932,77.64480455464269
2008ec,0.01562,-0.936791,34.1732,0.264363,68.52700204145899
2008ec,0.01562,-0.763005,34.1302,0.33431,69.89751443806519
2009nq,0.01576,-0.524383,34.1657,0.28688,69.38041864697563
2005al,0.01578,-1.25264,33.9986,0.219937,75.02529328147082
2013hn,0.01578,-1.76294,34.0697,0.290382,72.60853961126924
ASASSN-15oh,0.01587,-1.58413,34.3916,0.270341,62.96187164839468
2007ss,0.01652,-1.30935,34.4137,0.34637,64.876997999379
2010kg,0.01652,-1.28649,33.9999,0.334729,78.49658188595676
2013Q,0.01657,-0.184161,33.9726,0.41528,79.73026569470967
iPTF13dge,0.01662,-0.120328,34.2793,0.261916,69.43712364452072
ASASSN-16ip,0.01678,-0.877386,34.1679,0.246475,73.79597234217924
PSNJ0107203,0.01682,-1.98709,33.9673,0.284408,81.13097485076182
1998ef,0.0169,-1.01696,33.841,0.289311,86.39873971553185
1998ef,0.0169,-1.19643,33.8975,0.264562,84.17970656456923
ASASSN-15ti,0.01692,-1.47904,34.4894,0.310314,64.17133312666694
ASASSN-15od,0.01698,-1.11648,34.3409,0.228387,68.95700472394154
1997Y,0.01705,-1.06703,34.1973,0.214463,73.97501914956345
2001da,0.01718,-0.685997,34.022,0.308995,80.80604712144174
2001da,0.01718,-0.56437,34.2003,0.325329,74.43614315123865
ASASSN-15kx,0.0172,-1.45347,34.6084,0.219814,61.754576794775375
2000dk,0.0173,-2.44176,34.1436,0.28269,76.93904760413486
2000dk,0.0173,-2.03848,34.1517,0.257136,76.6525851151298
2007fb,0.01733,-1.55803,34.4009,0.221698,68.46037372832318
2007fb,0.01733,-1.64181,34.5101,0.231239,65.10273975972886
2006ef,0.01734,-1.56473,34.361,0.220285,69.77017239341843
2008C,0.01737,-0.695876,34.31,0.263557,71.55179304232135
2008C,0.01737,-0.758244,34.2669,0.262425,72.98616109826418
2004fz,0.01743,-1.27514,33.7799,0.330633,91.65118616318466
1998V,0.01752,-0.229945,34.1465,0.231417,77.81347397084743
2013gs,0.01776,-0.229314,34.2221,0.320412,76.18047291733735
2008L,0.01778,-1.58162,34.3364,0.210115,72.35565170664572
2008L,0.01778,-1.52385,34.2464,0.213428,75.41755688894807
2009le,0.01784,-0.019163,34.2418,0.22287,75.83253128809731
2000dr,0.0179,-2.72877,34.2975,0.318912,74.16068522284479
2007as,0.01802,-0.983845,34.2661,0.234211,75.74526504072931
1992bo,0.01808,-2.00428,34.6078,0.20147,64.93205219253622
2010ai,0.01826,-1.6487,34.9792,0.21848,55.26898336751461
ASASSN-17co,0.01826,-0.582812,34.2005,0.280568,79.10819513353788
2009gf,0.01855,-2.72077,34.492,0.255362,70.26913651983824
2009gf,0.01855,-2.72446,34.576,0.296243,67.60278953661893
2016ffh,0.01865,-0.612255,34.6171,0.238984,66.69289030451972
ATLAS16cpu,0.01865,-0.957574,34.5716,0.239989,68.10508496451652
2000cu,0.01866,-1.85209,34.6066,0.277471,67.0520935617256
2006kf,0.01947,-2.07155,34.7747,0.195403,64.75102601639846
2006kf,0.01947,-2.29704,34.8085,0.195531,63.75094905331631
2008hs,0.01975,-2.71083,34.757,0.466611,66.21979056900787
2008hs,0.01975,-2.50052,34.7394,0.433516,66.75868952695576
2007au,0.01976,-2.4148,34.6865,0.406241,68.4396284552535
2016W,0.01995,-1.42495,34.3648,0.295725,80.13156097586149
2002kf,0.02001,-0.988522,34.6854,0.204275,69.34063134237718
2006ej,0.02023,-1.65658,34.5995,0.188309,72.93174178794256
2006ej,0.02023,-1.2573,34.5012,0.295566,76.30914467255849
2006ej,0.02023,-1.52252,34.576,0.189903,73.72530632484103
2006ej,0.02023,-1.0906,34.6482,0.187832,71.31429376678138
2005ki,0.02035,-1.61047,34.5709,0.187708,74.33701473600524
2005ki,0.02035,-1.45192,34.5656,0.177716,74.51867367707156
2005ki,0.02035,-1.30129,34.4931,0.19075,77.04866469215433
ASASSN-15lg,0.02044,-1.2315,34.6552,0.214591,71.82267801255378
2007st,0.02056,-1.62937,34.4168,0.217156,80.62761497807637
ASASSN-17bs,0.02056,-1.01194,34.5647,0.249505,75.31887303947347
2003W,0.02082,-0.008507,34.674,0.230899,72.52728630219548
2001br,0.0209,-1.49568,34.8118,0.300223,68.32930274176812
AT2016eoa,0.02106,-1.57505,34.6693,0.230687,73.52229748456645
ASASSN-16lg,0.02116,-1.33321,34.375,0.203089,84.59337773693414
2004bw,0.02116,-1.18794,34.8194,0.196425,68.93763278258446
2007bc,0.02131,-1.01193,34.7561,0.180584,71.47993561429998
2007bc,0.02131,-1.09301,34.7344,0.177177,72.197831357154
2007bc,0.02131,-1.28476,34.7419,0.187753,71.948899020191
SN2016ajf,0.02134,-2.93112,34.7627,0.339971,71.36333178399047
1999dg,0.02197,-1.76017,34.8589,0.246447,70.28631262187388
1995ak,0.02203,-1.0611,34.6739,0.247785,76.7459029414519
2009na,0.02205,-0.709364,34.7477,0.199095,74.24877567179625
ATLAS16dpb,0.02215,-2.54831,35.0481,0.288632,64.94929382669733
SNF20080514-002,0.02219,-1.5105,35.0136,0.216159,66.10860686138521
2006dm,0.02228,-1.90086,34.8059,0.18018,73.03918010687747
2006dm,0.02228,-1.7604,34.8234,0.25811,72.45291938590394
2008ia,0.02231,-1.24683,34.9245,0.169837,69.25007900556894
2002cu,0.02236,-1.8507,34.7814,0.224663,74.133158188875
2006bq,0.0227,-1.67036,34.8693,0.2033,72.27474367778846
2002ef,0.02273,-0.546957,34.6849,0.358325,78.78438308464416
2010cr,0.02295,-1.41732,35.2685,0.304874,60.799973894518736
2000cn,0.02298,-2.47558,34.9992,0.267367,68.91769238810542
2000cn,0.02298,-2.56473,34.9712,0.237284,69.8121040469365
2009jb,0.02307,-0.07521,34.7666,0.340338,77.01020818667077
2014ai,0.02313,-1.00094,35.0225,0.271221,68.627208805833
ASASSN-14fa,0.02316,-1.93908,34.883,0.27497,73.27557886575065
2004at,0.02321,-0.046048,34.9168,0.178524,72.2995914817048
2007ci,0.02331,-2.4632,34.6478,0.266962,82.18697130750157
2007ci,0.02331,-2.79197,34.4301,0.279423,90.85377486846086
2009al,0.02342,-0.148779,35.0081,0.221692,69.94997984042823
2009al,0.02342,-0.486661,34.9783,0.225403,70.91654903591208
ASASSN-15tz,0.02365,-1.51814,34.9543,0.274039,72.40888300326372
2010ao,0.02369,-0.432206,34.943,0.2098,72.90977594829897
2006sr,0.02388,-1.36612,34.9949,0.180801,71.75877651401956
ASASSN-15jt,0.0239,-2.32675,34.889,0.403697,75.40820514120851
1998eg,0.02401,-0.498481,35.1018,0.195014,68.68357037475282
2010gp,0.02411,-0.512147,34.4711,0.398476,92.214223441206
2000bh,0.02412,-0.112692,34.8782,0.224067,76.48178342533002
1993H,0.02428,-2.04912,35.1803,0.232251,66.98990861301063
2006ac,0.02432,-0.782527,34.9871,0.184147,73.34394628129428
2006ac,0.02432,-0.998087,34.953,0.198064,74.50480348121265
1994M,0.02464,-1.42754,34.9528,0.213795,75.49208260037767
ASASSN-16hz,0.02466,-0.271228,34.8112,0.317595,80.64431831644578
2007cq,0.0251,-0.13142,34.8369,0.288042,81.11747514855888
2007cq,0.0251,-0.689247,34.8482,0.181918,80.69644902617597
2003it,0.0251,-1.5665,35.079,0.205996,72.55952389580885
2007cq,0.0251,-0.3274,35.009,0.176889,74.93667590001321
AT2017cfc,0.02512,-0.915129,35.0276,0.190198,74.35673950640964
2012bh,0.02517,-0.412737,35.1989,0.238281,68.8531665921399
370356,0.02517,-0.288703,35.2277,0.204374,67.94600370675771
2002he,0.02519,-1.65619,35.1139,0.15531,71.65869097452197
2002he,0.02519,-1.66703,35.1145,0.174825,71.63889368171046
2002bf,0.02525,-2.2722,34.9441,0.240723,77.67157028752747
2002bf,0.02525,-0.318008,34.9063,0.269066,79.03547821279169
ASASSN-16bq,0.02534,-1.67717,35.1882,0.176701,69.66061646918159
PSNJ0153424,0.02556,-0.609377,35.1828,0.233724,70.44035765819447
1992ag,0.02585,-0.676962,34.7664,0.344692,86.2981032333627
PSNJ2352371,0.02596,-2.03886,35.4014,0.200491,64.69122738194966
SN2017mf,0.02598,-0.158018,35.3111,0.17873,67.49006550540972
2005mc,0.02626,-1.91661,35.2855,0.288909,69.02643192752053
2005mc,0.02626,-2.6789,35.3429,0.323231,67.22571417765502
ASASSN-15mf,0.02695,-1.14563,35.1184,0.181369,76.50670047808362
ASASSN-17at,0.02713,-1.46792,35.2513,0.18676,72.44534695566087
SNF20071021-000,0.02714,-0.784696,35.3224,0.216057,70.13754272259932
2007co,0.02731,-0.065862,35.3437,0.230789,69.88796632123301
2007co,0.02731,-0.697511,35.1118,0.346591,77.76468247857353
2007co,0.02731,-0.210051,35.227,0.261645,73.74666802346566
2005na,0.02748,-0.435652,35.113,0.172724,78.20552418790139
2005na,0.02748,-0.361526,35.1538,0.186856,76.74983161215332
2005na,0.02748,-0.319979,35.1117,0.170295,78.25235767274157
2006gj,0.02803,-2.10847,35.7258,0.321699,60.15667180196317
2010ii,0.02805,-1.63665,35.1306,0.184771,79.18329476849924
2006ev,0.0281,-1.33707,35.6739,0.216353,61.76565095155767
PSNJ0252467,0.02816,-0.242102,35.3613,0.190628,71.48144997018386
2009aa,0.02819,-0.776049,35.3174,0.173415,73.01898282300868
2003U,0.02833,-2.12399,35.2665,0.177545,75.12202346547815
2002el,0.02849,-1.27001,35.1049,0.181734,81.38289826017534
2008ar,0.02849,-0.139414,35.2913,0.178243,74.68839935187954
2008ar,0.02849,-0.003834,35.359,0.180243,72.39576342321791
AT2017ns,0.02849,-0.966399,35.1963,0.366604,78.0284809441462
2004gs,0.02857,-1.88149,35.5996,0.235009,64.98467380536655
2007is,0.02866,-0.440798,35.3449,0.211378,73.30217970946366
2013bs,0.02866,-1.53613,35.4105,0.201911,71.1208418988185
1993ah,0.02888,-2.20166,35.2763,0.655117,76.23561213555962
ASASSN-15la,0.02902,-1.01539,35.0558,0.218663,84.79263099779259
ASASSN-15fs,0.02917,-0.021703,35.2391,0.185823,78.33162426351358
2003ch,0.02919,-1.30843,35.6024,0.169987,66.30935414865961
PSNJ0859349,0.02938,-0.88688,35.472,0.225755,70.87164191659163
ASASSN-16fs,0.02944,-1.34003,35.2761,0.180915,77.72102304357196
2000cw,0.02949,-0.841401,35.6079,0.224233,66.82138538574692
ASASSN-16aj,0.02953,-1.76764,35.4654,0.177866,71.45031534647528
ATLAS17ajn,0.02978,-2.02735,35.5116,0.190788,70.53836619440831
1997dg,0.02996,-0.316156,35.861,0.192522,60.417466779642226
2004ef,0.03012,-1.24846,35.5195,0.196088,71.08462398087424
2004ef,0.03012,-1.42181,35.4838,0.199296,72.26294727141287
2004ef,0.03012,-1.65809,35.4761,0.233488,72.51964516652268
ASASSN-15nq,0.03023,-0.336729,35.5185,0.166012,71.37709197941045
AT2016cyt,0.03059,-1.7723,35.3586,0.164518,77.74638057502621
ASASSN-15uw,0.03076,-0.702146,35.6084,0.212671,69.68303118567886
PS15cwx,0.03086,-1.43085,35.4164,0.184841,76.37243273506206
2009eu,0.03108,-1.99511,35.9224,0.399302,60.92867209851255
2009fv,0.03108,-0.730586,35.406,0.332119,77.28615703751436
2009fv,0.03108,-0.461572,35.3374,0.375292,79.76671610373099
1999cc,0.03116,-1.60696,35.5877,0.169094,71.26530561760202
MASTEROTJ08,0.03118,-0.018273,35.6675,0.174531,68.73798765812144
2007bd,0.0312,-1.2054,35.4957,0.175954,74.44495932186965
2007bd,0.0312,-1.07849,35.5793,0.14868,71.63335579422485
2007bd,0.0312,-1.4426,35.4841,0.153803,74.84370821169638
2006bw,0.03132,-1.75496,35.6231,0.320886,70.4729507877864
ASASSN-15hg,0.03143,-1.28742,35.6461,0.196214,69.97535073545599
ATLAS17axb,0.03143,-0.127194,35.5602,0.185563,72.79894472655396
2010gn,0.03147,-0.777601,35.9119,0.273901,61.99225664413801
2000dn,0.03148,-0.301281,35.707,0.22057,68.14836277385028
2006en,0.03162,-0.171952,35.6474,0.19424,70.35623138460193
2006en,0.03162,-0.46389,35.6847,0.188076,69.15802280779606
2006az,0.03201,-1.42383,35.4896,0.148675,76.59252324910597
010026,0.03236,-0.409321,35.6746,0.20211,71.1064858406545
2007ux,0.03264,-1.93734,35.8808,0.19004,65.22451418540277
2007ux,0.03264,-2.51403,35.6656,0.274525,72.01962455269555
ASASSN-15pr,0.03264,-0.669639,35.9082,0.198168,64.40667110918116
2008gl,0.03272,-1.48661,35.6638,0.156049,72.25601364585383
2008gl,0.03272,-1.25791,35.6366,0.169859,73.16678932631197
2008gl,0.03272,-1.37868,35.6431,0.148421,72.9481022083793
2006te,0.0329,-0.090751,35.7248,0.15355,70.64096134545325
2006os,0.03294,-0.668765,35.7992,0.326022,68.34461443095881
2004as,0.03296,-0.251932,35.7324,0.22019,70.52253352464761
2008gp,0.03333,-0.140482,35.6643,0.150947,73.58613901934301
2008gp,0.03333,-0.205011,35.7268,0.162633,71.49834951983244
2005iq,0.03341,-1.11399,35.8647,0.150987,67.26004887563617
2005iq,0.03341,-1.16049,35.8516,0.143619,67.66703988651372
2004L,0.03373,-1.03269,35.829,0.273673,69.0298681895878
2003gn,0.03375,-1.09542,36.0229,0.243018,63.17052410319683
2003cq,0.03378,-0.735787,35.8276,0.259126,69.17678084385987
ASASSN-16dw,0.03437,-0.229019,35.7837,0.217075,71.82245321061544
2007ba,0.03441,-2.29268,35.825,0.340606,70.55135766028432
1996bl,0.03459,-0.152679,35.7348,0.155656,73.92839283149742
2003kc,0.03479,-0.627251,35.8566,0.205773,70.29996870302901
2003iv,0.03491,-2.07235,35.9118,0.165632,68.77182537392864
1992bg,0.03515,-0.452709,35.8937,0.211664,69.82421024855694
2008at,0.03522,-1.53188,35.8349,0.334212,71.8836390111703
2007hu,0.03551,-1.39482,35.9905,0.374822,67.46388938296744
PTSS-16efw,0.03568,-0.139619,36.234,0.188455,60.596222088236615
2016fbk,0.03576,-0.491218,35.9591,0.225173,68.92840245977766
AT2016fbk,0.03576,-0.008242,36.1545,0.230318,62.99675990097964
1994T,0.03583,-1.51339,35.9325,0.204232,69.91454104962399
ASASSN-15lu,0.03635,-0.590345,36.0035,0.185251,68.6475620205389
2008hj,0.03682,-0.463779,35.8836,0.185109,73.48259539006767
2000dg,0.03697,-1.33287,36.0748,0.289284,67.56319107007211
2002G,0.03702,-1.4815,35.8056,0.308166,76.5838362567585
2002G,0.03702,-1.20109,35.9287,0.318471,72.36309230108643
2006mo,0.03702,-2.1933,36.0695,0.175025,67.81989566913043
2000cf,0.03707,-0.520479,36.0475,0.166339,68.60302862248913
ASASSN-16db,0.0373,-1.00742,35.8698,0.18969,74.91512952591503
AT2016hns,0.0374,-1.00508,35.9789,0.163683,71.43520660387554
2007jg,0.03756,-0.411462,36.3333,0.171248,60.93773200638333
2007jg,0.03756,-0.553643,36.2185,0.171341,64.24602857291679
AT2016cvw,0.03787,-1.83186,36.0063,0.206656,71.42594714275435
2002eu,0.0379,-2.0681,36.0624,0.163008,69.65942943009001
2007O,0.03818,-0.124259,35.8938,0.151724,75.83970359662469
2007O,0.03818,-0.531568,35.8617,0.152703,76.96913874265897
2008O,0.03847,-1.93144,36.2254,0.311188,65.59381478993744
ASASSN-15np,0.03884,-1.06429,36.026,0.219507,72.59386578442677
2008dr,0.04014,-1.38746,36.284,0.147901,66.61899413317074
PS15cze,0.04035,-1.51168,36.5486,0.234635,59.28492052238049
PS16axi,0.04089,-0.724985,36.1263,0.168835,72.97562336834443
2009do,0.04099,-1.16148,36.0403,0.147245,76.10945660556754
2007jh,0.04167,-1.96997,36.5601,0.280122,60.90096908476395
1992bl,0.04222,-1.72194,36.2101,0.208042,72.49681579350631
2006cf,0.04268,-0.261406,36.2931,0.151018,70.53832028401408
AT2016htm,0.04289,-0.466558,36.2018,0.162522,73.92932639730519
SN2016ayg,0.04349,-0.263111,36.4165,0.166064,67.9063066949803
2007nq,0.04349,-1.89805,36.2137,0.152187,74.55385601345323
2007nq,0.04349,-1.73962,36.2882,0.166626,72.03940391005024
ASASSN-15mg,0.04408,-1.55653,36.3298,0.181208,71.6312102333409
2005ku,0.04439,-0.1945,36.2916,0.249078,73.41517662213755
1992bh,0.0444,-0.008455,36.551,0.270525,65.16339052267388
2006gt,0.04464,-2.07243,36.5114,0.286272,66.72135981450195
2006hx,0.04487,-0.133588,36.4565,0.162334,68.78231242160463
PS16cqa,0.04521,-2.74165,36.6866,0.304921,62.335465926794065
SN2016esh,0.04583,-1.2223,36.1579,0.182756,80.61030422132363
PS17tn,0.0459,-0.608838,36.3811,0.196005,72.847288036667
2005lz,0.04643,-1.22727,36.3247,0.195021,75.62743771555574
360156,0.04656,-0.863374,36.5081,0.209562,69.6969341387241
AT2017yk,0.04691,-0.599325,36.7582,0.280677,62.5815241289265
2016afk,0.04738,-0.290903,36.5642,0.229149,69.11554856204678
PS16fa,0.0476,-0.651798,36.6009,0.161688,68.27279075202608
ASASSN-15pm,0.04837,-0.070478,36.3735,0.154741,77.03654382371427
AT2016gmg,0.04865,-1.82133,36.641,0.181462,68.50204670344044
1990af,0.04934,-2.16797,36.5997,0.202684,70.80759571402068
PS16el,0.0494,-1.31125,36.4691,0.176995,75.28832789551376
2006cq,0.04944,-0.16718,36.5828,0.168097,71.50545344175241
1993ag,0.04985,-0.828686,36.6402,0.244395,70.2175812684364
PS15asb,0.04989,-1.52138,36.4714,0.18553,75.95462202150296
1998dx,0.05018,-1.59626,36.5693,0.155812,73.02832840712061
ASASSN-17eb,0.05044,-1.50448,36.4621,0.201896,77.12155556417763
2008hu,0.05052,-1.71892,36.7036,0.133364,69.11368428919397
AT2016cor,0.05066,-0.547169,36.8523,0.302557,64.7181193201412
2003ic,0.05126,-1.69928,36.393,0.201448,80.90946039689403
1993O,0.05194,-0.650657,36.7759,0.228182,68.72941513522353
2006ot,0.05202,-1.13594,36.5433,0.298829,76.6180422719354
AT2016htn,0.05222,-0.150879,36.8411,0.218249,67.05598871707717
PS16n,0.05309,-0.327907,36.7752,0.161766,70.27379837658431
2010dt,0.05316,-0.080844,36.8474,0.172204,68.06528623529626
PS16bby,0.05468,-0.806099,36.8327,0.178902,70.48702952071197
490007,0.05541,-0.205706,36.8676,0.194374,70.28924089663695
AT2017oz,0.05614,-0.067616,36.8109,0.193162,73.09928199999051
PS16aer,0.05693,-0.052972,37.0393,0.176308,66.72704410074942
2006ob,0.05824,-2.16098,36.9821,0.138149,70.08451450897446
2006ob,0.05824,-2.38342,36.9324,0.14674,71.70708518014648
SN2017cjv,0.06092,-1.26761,37.032,0.17759,71.64412741638517
2008bz,0.06099,-0.455183,37.1631,0.123921,67.52418270202229
SN2016hhv,0.06121,-0.771196,37.1383,0.198009,68.54615243607687
2008go,0.06137,-0.812736,36.9608,0.196145,74.57904643923585
2008go,0.06137,-0.766723,36.9691,0.141986,74.2945277054053
1992bs,0.06372,-0.254896,37.3517,0.206518,64.67798332759713
PS16bnz,0.06446,-1.13602,37.0786,0.154429,74.19779584362524
6057,0.06654,-0.423267,37.1627,0.296189,73.68235522712561
AT2016aj,0.06725,-1.03989,37.2344,0.203006,72.04983516938803
PS15bjg,0.06786,-0.875725,37.4935,0.190499,64.52597242927939
2006al,0.06886,-1.43923,37.4213,0.159324,67.69049988229844
